"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";
"5";"100";"RR1206";"R1206";"R1, R2, R3, R4, R7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"7";"1u";"CC1206";"C1206";"C3, C4, C6, C8, C9, C10, C13";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"1";"2*5P 2.54mm 双排母 母座";"2.54MM_2X5";"2.54MM_2X5";"J3";"";"";"";"";"";"";"";"";
"2";"20p";"CC1206";"C1206";"C1, C5";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"1";"22-23-2021";"22-23-2021";"22-23-2021";"X6";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";"40";"";"";
"4";"22u";"CC1206";"C1206";"C2, C7, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"1";"24MHz";"CRYSTALSMD";"HC49UP";"Y1";"Crystals";"";"";"";"";"";"";"";
"3";"5k";"RR1206";"R1206";"R5, R6, R8";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"1";"A127799-ND";"ATX_24P";"ATX_24P";"J4";"";"";"";"";"";"";"";"";
"1";"ADP3338AKCZ-3.3";"AMS1117";"SOT223";"U4";"";"";"";"";"";"";"";"";
"4";"BNC_8MM";"BNC_8MM";"BNC_V_8MM";"X2, X3, X4, X5";"";"";"";"";"";"";"";"";
"3";"Blue";"LED1206";"CHIPLED_1206";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"";
"1";"DC_POWER_JACK-PJ-102AH";"DC_POWER_JACK-PJ-102AH";"PJ-102AH";"J6";"DC Power Jack";"";"";"";"";"";"";"";
"1";"HJ580";"HJ580";"HJ580";"U2";"";"";"";"";"";"";"";"";
"1";"HJ_185IMHQFN";"HJ_185IMHQFN";"HJ_185IMH";"U3";"";"";"";"";"";"";"";"";
"6";"HY2.0 8P SMD卧贴插座";"JST_8PIN";"JSTPH8";"CN_IN1, CN_IN2, CN_IN3, CN_IN4, CN_LCD, CN_OUT1";"JST 8-Pin Right-Angle Connector";"";"";"";"";"";"";"";
"1";"J7";"MICRO-USB-ZX62R-B-5P";"ZX62R-B-5P";"J7";"Hirose Micro USB Connector";"";"";"";"";"";"";"";
"8";"MMSZ4684T1GOSCT-ND";"DIODE_ZENER_SOD-123";"SOD-123";"D1, D2, D3, D4, D5, D6, D7, D8";"Zener diode";"";"";"";"";"";"";"";
"1";"STM32F413CHU6";"STM32F411_QFN48";"UFQFPN48";"U1";"";"";"";"";"";"";"";"";
"1";"Sub-GHz";"SYN115";"SYN115";"J1";"";"";"";"";"";"";"";"";
"2";"TESTPOINT_SMALL";"TESTPOINT_SMALL";"TESTPOINT_SMALL";"CLK, DIO";"PCB Test Point";"";"";"";"";"";"";"";
"1";"WM5525-ND";"BU-SMA-H";"BU-SMA-H";"X1";"FEMALE SMA CONNECTOR";"";"";"unknown";"unknown";"4";"";"";
"1";"Wifi";"WIRELESS-WIFI-ESP-01";"WIRELESS-WIFI-ESP-01";"J2";"Wireless Wi-Fi ESP-01 Module based on ESP8266 chip";"";"";"";"";"";"";"";
"1";"nc";"AMS1117";"SOT223";"U5";"";"";"";"";"";"";"";"";
"1";"nc";"JUMPER2";"JUMPER2";"J5";"";"";"";"";"";"";"";"";
"1";"nc";"RR1206";"R1206";"5V_BYP";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
